"UniqueSite","Site_Lat","Site_Long","Year","Targeted.biomass","PA_tp","Atoll","DepthCategory","CleanHabitat","Protection","CensusMethod","Total.sampling.Area","gravtot_500km","MPAage","NTZarea","Regional_population_growth","Ocean_prod","Climate_stress","HDI","Larger_pop_size","spatialcatch_tkm2","Larger_2","SocialSIte4km"
1,-8.35608,116.07124,2012,320.7835447,0,0,"4-10m","Slope","UnfishedLow","Standard belt transect",750,691.104547,3,0,11.40116227,463.2830399,0.827484357,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_1"
2,-8.33813,116.03385,2012,416.5579357,0,0,"0-4m","Flat","UnfishedLow","Standard belt transect",750,419.1065959,3,0,11.11596055,462.881434,0.828427364,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_2"
3,-8.33813,116.03385,2012,592.188536,1,0,"4-10m","Flat","UnfishedLow","Standard belt transect",750,419.1065959,3,0,11.11596055,462.881434,0.828427364,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_2"
4,1.50178861,125.261555,2007,539.3776272,0,0,"4-10m","Slope","Fished","Standard belt transect",750,127.3916732,0,0,8.642912599,365.002131,0.847411679,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_3"
5,1.50062202,125.2428852,2007,328.1609796,0,0,"4-10m","Slope","Fished","Standard belt transect",750,76.47226918,0,0,8.642912599,365.002131,0.847411679,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_3"
6,1.58525,118.58724,2011,686.6056767,0,0,"0-4m","Crest","Restricted","Standard belt transect",750,8.160122539,0,0,21.21651653,667.4326421,0.789031352,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_4"
7,-8.36794,116.09782,2012,12.23565723,0,0,"0-4m","Crest","Fished","Standard belt transect",750,1043.672188,0,0,11.40116227,463.2830399,0.827484357,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_1"
8,-8.34721,116.08602,2012,644.7532969,0,0,"0-4m","Slope","UnfishedLow","Standard belt transect",750,701.4178743,3,0,11.40116227,463.2830399,0.827484357,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_1"
9,1.50539727,125.2490909,2007,133.1670961,0,0,"4-10m","Slope","Fished","Standard belt transect",750,132.9821978,0,0,8.642912599,365.002131,0.847411679,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_3"
10,1.51916346,125.2406949,2007,295.5193029,0,0,"4-10m","Slope","Fished","Standard belt transect",750,108.7607567,0,0,8.642912599,365.002131,0.847411679,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_3"
11,1.56119845,125.1834543,2007,30.90001278,0,0,"4-10m","Slope","Fished","Standard belt transect",750,58.78227027,0,0,8.642929821,359.8407125,0.849443757,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_5"
12,1.50824184,125.2682436,2007,60.74566784,0,0,"4-10m","Slope","Fished","Standard belt transect",750,117.2433417,0,0,8.642843957,365.6243805,0.847338777,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_6"
13,1.51395494,125.2714011,2007,86.75973274,0,0,"4-10m","Slope","Fished","Standard belt transect",750,117.2433417,0,0,8.642843957,365.6243805,0.847338777,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_6"
21,-5.805025,110.491861,2009,14.67411017,0,0,"0-4m","Slope","Restricted","Standard belt transect",750,307.9521689,0,0,5.009822719,576.8090881,0.826358791,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_7"
22,-5.805025,110.491861,2009,17.88848615,0,0,"4-10m","Slope","Restricted","Standard belt transect",1000,307.9521689,0,0,5.009822719,576.8090881,0.826358791,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_7"
25,1.48873472,125.2565528,2007,137.0100967,0,0,"4-10m","Slope","Fished","Standard belt transect",750,158.2561543,0,0,8.642912599,365.002131,0.847411679,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_3"
30,-5.74239,110.41747,2009,36.27712422,0,0,"0-4m","Crest","Restricted","Standard belt transect",1000,274.4196834,0,0,5.010475096,545.2136197,0.823870202,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_8"
31,-5.74239,110.41747,2009,115.7311252,0,0,"4-10m","Crest","Restricted","Standard belt transect",1000,274.4196834,0,0,5.010475096,545.2136197,0.823870202,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_8"
34,-8.35135,116.08829,2012,255.8275759,0,0,"0-4m","Slope","UnfishedLow","Standard belt transect",750,701.4178743,3,0,11.40116227,463.2830399,0.827484357,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_1"
35,-8.36952,116.07755,2012,156.945951,0,0,"4-10m","Slope","UnfishedLow","Standard belt transect",750,869.0491566,3,0,11.40116227,463.2830399,0.827484357,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_1"
37,-0.077413,127.241752,2007,76.7746765,0,0,"0-4m","Slope","Fished","Standard belt transect",500,14.87251839,0,0,0.530331747,395.99181,0.865751227,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_10"
38,-0.077413,127.241752,2007,54.43093932,0,0,"4-10m","Slope","Fished","Standard belt transect",500,14.87251839,0,0,0.530331747,395.99181,0.865751227,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_10"
45,-5.891021,110.346573,2009,202.7532901,0,0,"0-4m","Slope","UnfishedLow","Standard belt transect",1000,325.4493247,4,0.403179,5.009512696,572.595744,0.829192533,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_11"
46,-5.891021,110.346573,2009,66.78525667,1,0,"4-10m","Slope","UnfishedLow","Standard belt transect",1000,325.4493247,4,0.403179,5.009512696,572.595744,0.829192533,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_11"
49,1.52384391,125.2756614,2007,219.1966022,0,0,"4-10m","Slope","Fished","Standard belt transect",750,101.0008844,0,0,8.642843957,365.6243805,0.847338777,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_6"
56,-5.806747,110.37822,2009,139.629609,0,0,"0-4m","Slope","Restricted","Standard belt transect",1000,292.9812409,0,0,5.009760523,560.319017,0.827057572,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_12"
57,-5.806747,110.37822,2009,49.14630468,0,0,"4-10m","Slope","Restricted","Standard belt transect",1000,292.9812409,0,0,5.009760523,560.319017,0.827057572,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_12"
66,-5.803104,110.380983,2009,83.05624261,0,0,"0-4m","Slope","Restricted","Standard belt transect",1000,292.9812409,0,0,5.009760523,560.319017,0.827057572,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_12"
67,-5.803104,110.380983,2009,70.40233416,0,0,"4-10m","Slope","Restricted","Standard belt transect",1000,292.9812409,0,0,5.009760523,560.319017,0.827057572,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_12"
76,-5.831288,110.382244,2009,78.79686645,0,0,"0-4m","Slope","UnfishedLow","Standard belt transect",1000,302.4139307,4,0.94229,5.009760523,560.319017,0.827057572,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_12"
77,-5.831288,110.382244,2009,22.39513886,0,0,"4-10m","Slope","UnfishedLow","Standard belt transect",1000,302.4139307,4,0.94229,5.009760523,560.319017,0.827057572,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_12"
86,-5.833226,110.381165,2009,100.9894438,0,0,"0-4m","Slope","UnfishedLow","Standard belt transect",1000,305.6539932,4,0.94229,5.009760523,560.319017,0.827057572,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_12"
87,-5.833226,110.381165,2009,30.42877518,0,0,"4-10m","Slope","UnfishedLow","Standard belt transect",1000,305.6539932,4,0.94229,5.009760523,560.319017,0.827057572,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_12"
94,-5.80419,110.55876,2009,20.09574682,0,0,"0-4m","Flat","Fished","Standard belt transect",1000,315.2892881,0,0,5.009741284,581.6624437,0.825499244,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_13"
95,-5.80419,110.55876,2009,74.72954132,0,0,"4-10m","Flat","Fished","Standard belt transect",1000,315.2892881,0,0,5.009741284,581.6624437,0.825499244,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_13"
98,-1.247966667,129.6813333,2009,261.3585528,0,0,"4-10m","Slope","Restricted","Standard belt transect",750,3.548295617,0,0,24.37788161,580.2764267,0.850007515,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_14"
99,-8.36217,116.08821,2012,92.79367964,0,0,"4-10m","Slope","UnfishedLow","Standard belt transect",750,881.5252375,3,0,11.40116227,463.2830399,0.827484357,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_1"
100,1.45534381,125.2236698,2007,336.3508543,0,0,"4-10m","Slope","Fished","Standard belt transect",750,333.9635951,0,0,8.642648098,365.1436305,0.848466905,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_15"
101,1.52205,118.79037,2011,196.2965087,1,0,"0-4m","Crest","Restricted","Standard belt transect",750,8.02729269,0,0,21.21073675,582.6251318,0.782103323,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_16"
102,2.2929,118.26196,2011,161.495709,0,0,"0-4m","Slope","Restricted","Standard belt transect",750,7.12577576,0,0,21.21658193,760.1691797,0.794524012,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_17"
103,2.70468,95.75529,2007,217.9574041,0,0,"0-4m","Crest","Fished","Standard belt transect",750,929.6606846,0,0,9.82224785,344.5799746,0.906627298,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_18"
105,-0.00927,127.172659,2007,197.393102,0,0,"0-4m","Slope","Fished","Standard belt transect",500,9.979403172,0,0,0.530811459,388.6121556,0.866519787,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_19"
106,-0.00927,127.172659,2007,74.49003266,0,0,"4-10m","Slope","Fished","Standard belt transect",500,9.979403172,0,0,0.530811459,388.6121556,0.866519787,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_19"
107,-1.203033333,129.6543833,2009,917.9134522,1,0,"4-10m","Slope","Restricted","Standard belt transect",750,3.09373406,0,0,24.37814037,576.0944829,0.849682339,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_20"
108,-1.226133333,129.6499833,2009,252.6498135,0,0,"4-10m","Slope","Restricted","Standard belt transect",750,3.428755393,0,0,24.37814037,576.0944829,0.849682339,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_20"
115,-5.880232,110.359395,2009,94.15551859,0,0,"0-4m","Crest","UnfishedLow","Standard belt transect",1000,323.3456934,4,1.88204,5.009512696,572.595744,0.829192533,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_11"
116,-5.880232,110.359395,2009,100.7737777,0,0,"4-10m","Crest","UnfishedLow","Standard belt transect",1000,323.3456934,4,1.88204,5.009512696,572.595744,0.829192533,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_11"
123,-5.86211,110.60538,2009,1.939163527,0,0,"0-4m","Flat","Fished","Standard belt transect",1000,349.079623,0,0,5.009707588,580.0644654,0.825689696,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_21"
124,-5.86211,110.60538,2009,15.44677422,0,0,"4-10m","Flat","Fished","Standard belt transect",1000,349.079623,0,0,5.009707588,580.0644654,0.825689696,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_21"
131,-5.8336,110.60616,2009,32.34383929,0,0,"0-4m","Slope","Fished","Standard belt transect",1000,337.2937912,0,0,5.009707588,580.0644654,0.825689696,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_21"
132,-5.8336,110.60616,2009,36.87652593,0,0,"4-10m","Slope","Fished","Standard belt transect",1000,337.2937912,0,0,5.009707588,580.0644654,0.825689696,0.746,240676485,10.2749352941321,"Indonesia","Andrew_Hoey_21"
